,Model,Set,Precision,Recall,F1 Score,Accuracy,AUC
0,One-Class SVM (OCSVM),Train,0.5812917594654788,0.6027713625866051,0.5918367346938775,0.5982142857142857,0.6156654811725918
1,One-Class SVM (OCSVM),Test,0.6272727272727273,0.5433070866141733,0.5822784810126582,0.5580357142857143,0.6340612062667424
0,KNN,Train,0.6062557668674959,0.7375,0.6654335412821177,0.6292410714285714,0.6724818638392858
1,KNN,Test,0.6023135269616804,0.7267857142857144,0.6585702657277578,0.6232142857142857,0.6475605867346939
0,Random Forest (RF),Train,0.666030608066509,0.7120535714285715,0.6869046173679709,0.6763392857142858,0.75146484375
0,Random Forest (RF),Test,0.6020401326169245,0.6285714285714286,0.6130045340763082,0.6080357142857142,0.6798309948979592
0,Random Forest (Top 10 Features),Train,0.6761593213047472,0.694642857142857,0.6840690631674825,0.6799107142857143,0.7500109614158164
0,Random Forest (Top 10 Features),Test,0.6215495813430417,0.6178571428571429,0.6172329231902254,0.6223214285714286,0.6834980867346939
0,XGBoost (XGB),Train,0.6614207154853109,0.7120535714285714,0.6853346037151643,0.6734375,0.7510841836734695
0,XGBoost (XGB),Test,0.620131489432217,0.6446428571428571,0.6313572209607363,0.6258928571428571,0.6801020408163266
0,XGBoost (Top 10 Features),Train,0.6613084545623868,0.6897321428571429,0.6744436324947684,0.6674107142857142,0.7353276466836736
0,XGBoost (Top 10 Features),Test,0.6180122437842716,0.6321428571428571,0.6238016425820957,0.6223214285714287,0.6764190051020409
0,MLP (Neural Network),Train,0.6913185503526362,0.7084821428571428,0.6634765214256808,0.6678571428571429,0.7661621093750001
0,MLP (Neural Network),Test,0.6456852575594612,0.6482142857142857,0.6067466091635298,0.6151785714285716,0.6904177295918368
0,Ensemble Model (RF + XGB + KNN + MLP),Train,0.6649052756525162,0.778125,0.7135788651307197,0.6890625,0.7716278698979593
0,Ensemble Model (RF + XGB + KNN + MLP),Test,0.6214743178804287,0.7178571428571429,0.6623388717678923,0.6348214285714286,0.7026147959183673
